Size	   Bubble Sort	Selection Sort	Insertion Sort
50	92437.5	29599.81	64205.67
100	54322.58	22574.13	150782.22
150	118153.9	41861.47	24806.4
200	180420.16	72067.32	40180.066
250	273032.1	103905.06	60740.33
300	384975.6	149868.36	82330.35
350	537386.2	201295.56	113478.46
400	690376.0	260476.06	146110.42
450	905159.1	349429.28	202106.98
500	1270330.1	503308.28	739491.2
550	1536802.2	591986.4	315655.62
600	1571318.9	580682.0	325449.22
650	1817875.5	664408.94	384396.38
700	2155255.2	782083.8	436530.3
750	2480634.5	907624.6	498021.25
800	2468788.8	893334.2	499634.0
850	2644991.2	935837.2	525443.8
900	3152854.5	1102981.0	626601.5
950	4046297.2	1387619.9	774535.8
1000	4298246.0	1485536.4	879744.0
